display_group_ids,exposed_supply_sats_by_script_type,spend_activity,exposed_utxo_count,first_exposed_blockheight,last_spend_blockheight,details,identity
1JCe8z4jJVNXSjohjM4i9Hh813dLCNx2Sy,"{ ""P2PKH"" : 12417800014420 }",active,19,426482,426643,,
3Nxwenay9Z8Lc9JBiywExpnEFiLp6Afp8v,"{ ""P2SH"" : 11943982316727 }",active,63,380650,449938,,
1HQ3Go3ggs8pFnXuHVHRytPCq5fGG8Hbhx,"{ ""P2PKH"" : 6937010690994 }",inactive,68,230514,353375,,
3D2oetdNuZUqQHPJmcMDDHYoqkyNVsFk9r,"{ ""P2SH"" : 5642319222278 }",active,63,446739,448463,,
38xMwnXgYmnzvbmqz8TFZ1zxnwVcdv1uq4,"{ ""P2SH"" : 4803652356264 }",active,269,424191,449912,,
18rnfoQgGo1HqvVQaAN4QnxjYE7Sez9eca,"{ ""P2PKH"" : 4709799133500 }",active,167,326759,405003,,
3Kg7Cmooris7cLErTsijq6qR1FH3cTiK2G,"{ ""P2SH"" : 4507271305162 }",active,20883,335157,446943,,
16cou7Ht6WjTzuFyDBnht9hmvXytg6XdVT,"{ ""P2PKH"" : 4499800006000 }",active,3,130794,414481,,Roger Ver
323ENWgPNZdzsm2d6CzEaPTFrvavn1giv5,"{ ""P2SH"" : 3857446790319 }",active,46,368706,445980,,
3R1hBCHURkquAjFUv1eH5u2gXqooJkjg4B,"{ ""P2SH"" : 3740000185304 }",active,30,383867,444603,,
3CqBquEFMYY548fNBz8u2MBw3HKprS3Xft,"{ ""P2SH"" : 3541016190325 }",active,34,369164,445980,,
32ixB1aXiwgpHGHo27SMRSULajCdc7jq9Q,"{ ""P2SH"" : 3411256211300 }",active,8,427710,430010,,
33VMRgxXZWgZGmGnGRZ9AEW8bZs8scMiY1,"{ ""P2SH"" : 3380815053248 }",active,55,369110,445982,,
37x6JnDNhbsBw95bvEreB7WHWA74gGR17y,"{ ""P2SH"" : 3363663892353 }",active,39,381890,445981,,
3Ap6mixhHLmVtH41YHH94Ut4jBfmqRpzgQ,"{ ""P2SH"" : 3360435485450 }",active,35,369164,445980,,
32GxivQN3VKtVEtgsH5uTWfXd5b2LkXyUZ,"{ ""P2SH"" : 3248953072783 }",active,4,351572,433946,,
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,"{ ""P2PKH"" : 3100005972920 }",inactive,42,55632,70071,,unidentified
1KwA4fS4uVuCNjCtMivE7m5ATbv93UZg8V,"{ ""P2PKH"" : 3013820082399 }",active,14608,324381,447711,,
3HZUwxZbYRef9oEuvSvjgVMyZ227Hur7ng,"{ ""P2SH"" : 2500000130000 }",active,6,341353,426817,,
1JsVdtXZHKnuzUihEjCPyRm5EEcxRjWGEh,"{ ""P2PKH"" : 2434999926775 }",active,2,235577,438093,,
3KJUJUQS3XwYiiZ9uzVdqJwbnnUjPYLcmy,"{ ""P2SH"" : 2329016645618 }",active,5793,440328,440336,,
