display_group_ids,exposed_supply_sats_by_script_type,spend_activity,exposed_utxo_count,first_exposed_blockheight,last_spend_blockheight,details,identity
3A1KUd5H4hBEHk4bZB4C3hGgvuXuVX7p7t,"{ ""P2SH"" : 16778480610667 }",active,32,339798,347312,,
3Kg7Cmooris7cLErTsijq6qR1FH3cTiK2G,"{ ""P2SH"" : 15799704020000 }",active,6,335606,336662,,
39coweGgC8CPZ6hYL1BBEfc1zqbSfHsprW,"{ ""P2SH"" : 11500000800005 }",active,12,332745,332884,,
3Q9ovFSZ77r4UPfDNdCyJqaQznmzxWxDGU,"{ ""P2SH"" : 6829999973004 }",active,26,321362,344204,,
16cou7Ht6WjTzuFyDBnht9hmvXytg6XdVT,"{ ""P2PKH"" : 5100005640297 }",active,41,130794,318376,,Roger Ver
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,"{ ""P2PKH"" : 3100005171120 }",inactive,29,55632,70071,,unidentified
3HyULbPVM739jPVk4i3PKZ4LibhYP1HsLc,"{ ""P2SH"" : 2962431831084 }",active,3,332005,338090,,
3KBUuGko4H5ke7EVsq9B7PLK1c5Askdd7y,"{ ""P2SH"" : 2337799581004 }",active,9,326133,349941,,
1Gnhy34EBtz9ftQdGZooGTpVE6E9wL2VZN,"{ ""P2PKH"" : 2174400850403 }",inactive,10,275880,279707,,
12fZ2HxkLjG9zn1u44XYsFFYKHM4A2zCea,"{ ""P2PKH"" : 2084417123407 }",active,16,100714,307547,,
39ngTt6DWQRUbzjmx6ucxz7pPvQcm52CL3,"{ ""P2SH"" : 2016305981884 }",active,146,321365,349911,,
33vpLgKtNoHGHMpdwWsjPjyvbVxTVFPDED,"{ ""P2SH"" : 1930008911004 }",active,8,326133,348565,,
19ere2oJzJh81A5Q64SExDZYz54RvWHqZz,"{ ""P2PKH"" : 1428687860405 }",inactive,34,69804,191997,,unidentified
12tT4cSjRRsncwwv1YUKnbXuouaMfT5DnN,"{ ""P2PKH"" : 1403387834405 }",inactive,24,212604,288309,,
1FeDtFhARLxjKUPPkQqEBL78tisenc9znS,"{ ""P2PKH"" : 1343053135591 }",active,540,324412,339104,,Miner
1KX8EPDcziwbGaC7oDHDuKE9SfLWMmmbZy,"{ ""P2PKH"" : 1321500817405 }",active,14,109344,346978,,unidentified
17UUsmejDsjJEtbRcotd289ADp7ZdanH5k,"{ ""P2PKH"" : 1255448479528 }",inactive,54,213406,287716,,unidentified
17Jj4eNGBUEdBJEorViEieZ8W87ELXKgu7,"{ ""P2PKH"" : 1203915745232 }",inactive,13,223246,223253,,unidentified
19tuxqhzgwC6B9hhLHDLJkocx8LaaCS56s,"{ ""P2PKH"" : 1200000980408 }",inactive,22,135120,288309,,Roger Ver
15h6A2a3D31vRviBDdSpvhLtYJq3aePhdW,"{ ""P2PKH"" : 1187771974453 }",active,20,228261,345947,,unidentified
1L3bHFCgh9kEM1Bc89bRbozGBjfXqkBmkk,"{ ""P2PKH"" : 1111100051006 }",active,8,308505,308512,,
1FfdcppWbJ7FeQFznsjdLYNXdwMdoiTGSA,"{ ""P2PKH"" : 1068201832706 }",inactive,62,223645,274409,,
1CjPR7Z5ZSyWk6WtXvSFgkptmpoi4UM9BC,"{ ""P2PKH"" : 1050539508820 }",active,420,245095,349985,,Miner
1HdZQPHAzTVSB2xkccTA25xjz2oqCCgTG7,"{ ""P2PKH"" : 1000000000000 }",active,1,304261,304261,,
16qpcoGffkGFdbe7qbCWrwyGvSt7vSgvCc,"{ ""P2PKH"" : 988299911010 }",inactive,5,223575,262614,,
16HC2oNNjmhXgGqf4YYZwSfRK4meVpAGm7,"{ ""P2PKH"" : 942478154361 }",inactive,8,82647,133421,,
1KMSc9NVZthdFEnkHN5KHdULoGuR5x2Xjt,"{ ""P2PKH"" : 881311911037 }",active,29,319840,349823,,
16g2TW2hbFoov3DThSRBdnETaS94bFvq5v,"{ ""P2PKH"" : 870000829012 }",inactive,18,120896,293022,,unidentified
1GZwCeoCyU7brDfayRiXLP6bnVDwyvaegP,"{ ""P2PKH"" : 842247548092 }",active,1461,300346,348691,,
1x5rb4RQNmoeMn2cr9EtQHLN1wGYeodSX,"{ ""P2PKH"" : 809340894491 }",active,66,272245,343713,,
1KvMwu29AmUYEHKUHyeSkKZs26ZAprxAUv,"{ ""P2PKH"" : 803111161112 }",active,39,269348,346407,,
1Mg4i5e3YkM7WKFXmimzjgGjjiozQgGKwv,"{ ""P2PKH"" : 800003500006 }",active,13,333681,348512,,
1HktZquxWcseRTkkSTPWSVtL2Cfdhus2sj,"{ ""P2PKH"" : 800000131011 }",active,7,215115,333493,,unidentified
15Z5YJaaNSxeynvr6uW6jQZLwq3n1Hu6RX,"{ ""P2PKH"" : 794106056510 }",inactive,12,49995,85225,,unidentified
13uraL1Maba7obbhkdB4pjsqMyvqrcTeeD,"{ ""P2PKH"" : 791111036510 }",inactive,23,86036,175887,,unidentified
1H1sq6Msgt9HjRrBuz8ieZdThzWXS6oPVA,"{ ""P2PKH"" : 748291228789 }",active,313,304185,347988,,Miner
1BSqeNHRYkSEbLZrwWUMKQgTnZJFaGXrUh,"{ ""P2PKH"" : 650000020001 }",active,18,317542,335682,,
1MbcZkfjkWdEEeC9r5pq5XRBDRcKUCsg9h,"{ ""P2PKH"" : 640000021000 }",inactive,4,67043,97395,,unidentified
14KnxEtbGzxQmcHfTegaCyasVzBpKMF951,"{ ""P2PKH"" : 607800026500 }",inactive,5,244403,288309,,
1E5Fs2zQZBrdnWUtQXMMUUwMvKWxd73acF,"{ ""P2PKH"" : 600518405026 }",active,302,318562,349626,,
1PcUamJUkRFNjjaPTQdrk1ayogMXVe5X8b,"{ ""P2PKH"" : 599999971000 }",inactive,9,273049,273425,,
1BnkEt2ceoVhnQVrqeAzigcroQ6MVyxFey,"{ ""P2PKH"" : 592836037390 }",active,39,227937,348532,,unidentified
18CkY379YXpox7Gxee7bfKuSu2TV47TGV,"{ ""P2PKH"" : 564600021001 }",inactive,22,254178,256791,,
16hL9BVUgjATSHPU72MpD4E38JhqxDuFnn,"{ ""P2PKH"" : 559532275933 }",inactive,4,229183,241443,,
1Lwe7uBSicPNHKBie7JT7qSvK6X2mtNziU,"{ ""P2PKH"" : 530000000000 }",active,2,324121,348299,,
1KeMjrqpaMjqa7krMwwhipytUzsziz5ckz,"{ ""P2PKH"" : 526090306540 }",active,119,278820,334028,,
1NJwn8opgZL43jKJETaXShuoBpP6uoNbej,"{ ""P2PKH"" : 521881830730 }",active,101,278829,334028,,
1BeouDc6jtHpitvPz3gR3LQnBGb7dKRrtC,"{ ""P2PKH"" : 507500011000 }",active,84,286980,329134,,unidentified
189ivm7yVJrktRWE7KwcxrU27U3SMCh6mp,"{ ""P2PKH"" : 500000833513 }",active,9,266776,345889,,
15UFcPUEtusMKWtSPmuoLGVAMYQPxXCUya,"{ ""P2PKH"" : 500000021000 }",inactive,6,270646,275615,,
