display_group_ids,exposed_supply_sats_by_script_type,spend_activity,exposed_utxo_count,first_exposed_blockheight,last_spend_blockheight,details,identity
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,"{ ""P2SH"" : 25259723718320 }",active,279,546288,720638,None,Binance
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,"{ ""P2WSH"" : 16800998765839 }",active,19,590368,709381,3-of-5 multisig,Bitfinex
1LQoWist8KkaUXSPKZHNvEyfrEkPHzSsCd,"{ ""P2PKH"" : 13264278227232 }",active,73,740790,746985,,
3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,"{ ""P2SH"" : 10126600002858 }",active,3,549926,740984,None,Binance
37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs,"{ ""P2SH"" : 9450534217949 }",inactive,132,593468,689591,None,unidentified
3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,"{ ""P2SH"" : 6496912878775 }",active,184,371387,749867,,
bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr,"{ ""P2WSH"" : 5429999932300 }",active,2,704522,746052,3-of-5 multisig,Bitfinex
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,"{ ""P2WPKH"" : 5041533529021 }",active,3127,704052,750000,,Binance
3LCGsSmfr24demGvriN4e3ft8wEcDuHFqh,"{ ""P2SH"" : 3723931841825 }",active,351,597333,749944,,
3JZq4atUahhuA9rLhXLMhhTo133J9rF97j,"{ ""P2SH"" : 3562500841400 }",active,17,548485,747522,,
38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,"{ ""P2SH"" : 3406698117247 }",active,81,402670,741151,,
bc1qcdeadk07jkthules0yw9u9ue9pklvr608ez94jgwcf7h2ldzcg6qwxp9er,"{ ""P2WSH"" : 3254242757000 }",active,2,740861,746052,,
12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8Fx,"{ ""P2PKH"" : 3232099999210 }",active,16,661177,733173,,
bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4,"{ ""P2WPKH"" : 3164338362943 }",inactive,4723,630028,639966,,Binance Pool
