display_group_ids,exposed_supply_sats_by_script_type,spend_activity,exposed_utxo_count,first_exposed_blockheight,last_spend_blockheight,details,identity
35hK24tcLEWcgNA4JxpvbkNkoAcDGqQPsP,"{ ""P2SH"" : 22750211192507 }",active,328,560028,647707,,
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,"{ ""P2SH"" : 7343627939336 }",active,48,546288,628190,None,Binance
1HQ3Go3ggs8pFnXuHVHRytPCq5fGG8Hbhx,"{ ""P2PKH"" : 6937022450843 }",inactive,226,230514,353375,,
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,"{ ""P2WSH"" : 6350099542000 }",active,2,590368,646583,3-of-5 multisig,Bitfinex
1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ,"{ ""P2PKH"" : 5882565496065 }",active,163,561730,640449,,
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,"{ ""P2SH"" : 5680189512845 }",active,43,554702,649805,,
3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,"{ ""P2SH"" : 5607182440240 }",active,134,371387,649677,,
386eAUqL3ZNZPmHeABXLo658DTQuJeLzUR,"{ ""P2SH"" : 5228631582456 }",active,10,609698,628190,,
38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,"{ ""P2SH"" : 4703333941474 }",active,107,402670,646479,,
3D8qAoMkZ8F1b42btt2Mn5TyN7sWfa434A,"{ ""P2SH"" : 3999992003519 }",active,114,596807,649465,,
17hf5H8D6Yc4B7zHEg3orAtKn7Jhme7Adx,"{ ""P2PKH"" : 3600000232152 }",inactive,63,462592,462662,,
3LCGsSmfr24demGvriN4e3ft8wEcDuHFqh,"{ ""P2SH"" : 3461276193015 }",active,293,597333,649896,,
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,"{ ""P2PKH"" : 3100006932031 }",inactive,104,55632,70071,,
3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,"{ ""P2SH"" : 2653231783670 }",inactive,39,555010,590877,None,unidentified
3Pja5FPK1wFB9LkWWJai8XYL1qjbqqT9Ye,"{ ""P2SH"" : 2616701092912 }",inactive,327,570265,1,,Miner
1AnwDVbwsLBVwRfqN2x9Eo4YEJSPXo2cwG,"{ ""P2PKH"" : 2322761526496 }",inactive,57,474872,510573,,
14eQD1QQb8QFVG8YFwGz7skyzsvBLWLwJS,"{ ""P2PKH"" : 2221116585859 }",inactive,90,474880,504228,,
19iqYbeATe4RxghQZJnYVFU4mjUUu76EA6,"{ ""P2PKH"" : 2145038776768 }",active,11,630189,649999,,
