display_group_ids,exposed_supply_sats_by_script_type,spend_activity,exposed_utxo_count,first_exposed_blockheight,last_spend_blockheight,details,identity,first_exposed_unix_time,last_spend_unix_time
3D2oetdNuZUqQHPJmcMDDHYoqkyNVsFk9r,"{ ""P2SH"" : 13866086074390 }",active,1034,446739,546864,,,1483619655,1540215907
16ftSEQ4ctQFDtVZiUBusQUjRrGhM3JYwe,"{ ""P2PKH"" : 12923433740207 }",active,134,498194,546541,,,1512719470,1540024937
3Cbq7aT1tY8kMxWLbitaG7yT6bPbKChq64,"{ ""P2SH"" : 10813465258712 }",active,208,484206,519846,,,1504888865,1524642833
16rCmCmbuWDhPjWTrpQGaU3EPdZF7MTdUk,"{ ""P2PKH"" : 10720307621708 }",active,111,400289,530471,,,1456596009,1530725483
3Nxwenay9Z8Lc9JBiywExpnEFiLp6Afp8v,"{ ""P2SH"" : 9784828502920 }",active,152,379183,536914,,,1445006586,1534356965
1HQ3Go3ggs8pFnXuHVHRytPCq5fGG8Hbhx,"{ ""P2PKH"" : 6937012358729 }",inactive,153,230514,353375,,,1365541416,1429798225
18rnfoQgGo1HqvVQaAN4QnxjYE7Sez9eca,"{ ""P2PKH"" : 6360004704517 }",active,144,326759,546464,,,1414147208,1539980196
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,"{ ""P2SH"" : 5767915551491 }",active,34,546288,546290,None,Binance,1539867558,1539868766
38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,"{ ""P2SH"" : 5343138114466 }",active,80,402670,538432,,,1457994001,1535225861
1JCe8z4jJVNXSjohjM4i9Hh813dLCNx2Sy,"{ ""P2PKH"" : 5300001336487 }",inactive,72,426482,479768,,,1471939744,1502258610
3R1hBCHURkquAjFUv1eH5u2gXqooJkjg4B,"{ ""P2SH"" : 4189937711478 }",active,58,383867,549921,,,1447683543,1542115716
3CqBquEFMYY548fNBz8u2MBw3HKprS3Xft,"{ ""P2SH"" : 4059284522814 }",active,80,369110,546033,,,1439139396,1539711424
3Ap6mixhHLmVtH41YHH94Ut4jBfmqRpzgQ,"{ ""P2SH"" : 4047436305358 }",active,85,369110,546033,,,1439139396,1539711424
323ENWgPNZdzsm2d6CzEaPTFrvavn1giv5,"{ ""P2SH"" : 4045433083719 }",active,76,368706,546040,,,1438897069,1539716391
33VMRgxXZWgZGmGnGRZ9AEW8bZs8scMiY1,"{ ""P2SH"" : 4043839517002 }",active,109,369110,546040,,,1439139396,1539716391
37x6JnDNhbsBw95bvEreB7WHWA74gGR17y,"{ ""P2SH"" : 4041360231833 }",active,82,369108,546033,,,1439136747,1539711424
17hf5H8D6Yc4B7zHEg3orAtKn7Jhme7Adx,"{ ""P2PKH"" : 3600000134468 }",inactive,36,462592,462662,,,1492625216,1492663883
36TEhDpuSJnVbGbBC3kqWd8FiCvX95pir4,"{ ""P2SH"" : 3561162363274 }",active,66,512716,512718,,,1520587779,1520588691
32ixB1aXiwgpHGHo27SMRSULajCdc7jq9Q,"{ ""P2SH"" : 3249996619557 }",active,40,381914,543012,,,1446586372,1537880452
32GxivQN3VKtVEtgsH5uTWfXd5b2LkXyUZ,"{ ""P2SH"" : 3248953177192 }",inactive,30,351572,433946,,,1428695545,1476226777
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,"{ ""P2PKH"" : 3100006812791 }",inactive,74,55632,70071,,unidentified,1273738958,1280014523
336xGpGweq1wtY4kRTuA4w6d7yDkBU9czU,"{ ""P2SH"" : 2988548871412 }",active,76,406125,549899,,,1460015538,1542098075
36png4nUpGkCrYnRXNR4PMSRFEgGadmh8S,"{ ""P2SH"" : 2516031709711 }",inactive,29,400734,491323,,,1456873120,1508765378
3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,"{ ""P2SH"" : 2426605049759 }",active,42,371387,545493,,,1440462500,1539371977
3HZUwxZbYRef9oEuvSvjgVMyZ227Hur7ng,"{ ""P2SH"" : 2400046994002 }",inactive,29,341353,491547,,,1422730526,1508880957
1AnwDVbwsLBVwRfqN2x9Eo4YEJSPXo2cwG,"{ ""P2PKH"" : 2322761214888 }",active,38,474872,510573,,,1499558579,1519405543
34y4eyYK3mUPoys9xz9QSEHKh2RG5iLDuZ,"{ ""P2SH"" : 2289063286261 }",active,22,467996,545534,,,1495678350,1539397893
14eQD1QQb8QFVG8YFwGz7skyzsvBLWLwJS,"{ ""P2PKH"" : 2221116524450 }",active,66,474880,504228,,,1499563494,1515960112
16FSBGvQfy4K8dYvPPWWpmzgKM6CvrCoVy,"{ ""P2PKH"" : 2199063469009 }",active,402,500135,549212,,,1513695521,1541648144
33VukC9ReF5bkDvPNUTy5j6VEbzMc9JFt3,"{ ""P2SH"" : 2160287684398 }",active,47,332022,511334,,,1417203978,1519828331
3FiMKffg2kY2Pi2Kebn2HZqN7m6kEcNUMk,"{ ""P2SH"" : 2005441389365 }",active,155,512310,549996,5-of-7 multisig,unidentified,1520366257,1542160997
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,"{ ""P2PKH"" : 2000800015632 }",inactive,20,459340,459341,,unidentified,1490709559,1490709895
18x5Wo3FLQN4t1DLZgV2MoAMWXmCYL9b7M,"{ ""P2PKH"" : 1625242123285 }",active,1537,504954,529734,,,1516353513,1530273415
1FaUfrUhv37aqFAZ9ij595587wtnGWBFKS,"{ ""P2PKH"" : 1622400026686 }",active,63,527433,534246,,,1528982070,1532857381
15xZvLJLAgxh8cxEmAbpx1H35oibHo5cLA,"{ ""P2PKH"" : 1589979861158 }",active,100,487686,549937,,,1506778773,1542124554
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,"{ ""P2PKH"" : 1574555517585 }",active,13,505553,505587,,unidentified,1516640759,1516659244
3BMEXqGpG4FxBA1KWhRFufXfSTRgzfDBhJ,"{ ""P2SH"" : 1484981679904 }",active,2,476312,547257,,,1500348724,1540473461
3645N22DDswRxV4BQGbuBrgHCAYUmzcHU6,"{ ""P2SH"" : 1450000013032 }",inactive,15,477412,477976,,,1500928576,1501253264
3673hPWJuUkbdf9RRpoSLLtuXMG44FsLng,"{ ""P2SH"" : 1390000012366 }",inactive,152,479662,479675,,,1502193652,1502197963
13sixi6TGPoWvbi2e93wdQSyJPPN7vNhx3,"{ ""P2PKH"" : 1192723950709 }",active,5,502770,542449,,,1515205076,1537568045
1CMbVZV7xbAiFFauuAf3tgZRhwLKXmMUZL,"{ ""P2PKH"" : 1183700609338 }",active,13,530057,537181,,,1530457169,1534505385
1923qxU74HWWz75LgWTsPE4FT9Zyd6n6bv,"{ ""P2PKH"" : 1133684172288 }",inactive,241,331491,373337,,unidentified,1416876913,1441578278
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,"{ ""P2PKH"" : 1113932564876 }",active,118,479653,549996,,,1502188375,1542160997
19G5kkYvjawZiYKhFeh8WmfBN31pdP94Jr,"{ ""P2PKH"" : 1110200023039 }",active,19,445741,499443,,,1483069607,1513347080
155fzsEBHy9Ri2bMQ8uuuR3tv1YzcDywd4,"{ ""P2PKH"" : 1096728252726 }",active,1022,340771,549123,,Miner,1422408306,1541584251
3D15C8yuFRiMYPfptEP6EJH1GKAqE6F1oG,"{ ""P2SH"" : 1095980667426 }",active,20,503881,519292,,,1515771343,1524334919
1aXzEKiDJKzkPxTZy9zGc3y1nCDwDPub2,"{ ""P2PKH"" : 1090000003664 }",active,13,423616,527277,,,1470306579,1528893172
1DWxysF7GPRYGShNxL5ux2N2JLRa9rbE6k,"{ ""P2PKH"" : 1087207694337 }",active,77,483666,547239,,,1504622291,1540462126
35fe2CM2zbMeSfhRjpjW8ikTJcZj8NooFD,"{ ""P2SH"" : 1000000042776 }",inactive,10,416878,417016,,,1466266196,1466331552
1LfV1tSt3KNyHpFJnAzrqsLFdeD2EvU1MK,"{ ""P2PKH"" : 1000000005109 }",active,5,284323,518950,,,1391621610,1524141271
1Kd6zLb9iAjcrgq8HzWnoWNVLYYWjp3swA,"{ ""P2PKH"" : 970712966598 }",active,194,369414,510573,,,1439293680,1519405543
17CzhFvGwH6TT46JtzhnhMpTw4mHYpEGCR,"{ ""P2PKH"" : 910736425570 }",active,70,478316,510573,,,1501448877,1519405543
15nMWix4rnpr7HaZkvfMVkdFf2YbUtaGsj,"{ ""P2PKH"" : 900010001443 }",active,4,498841,498842,,,1513050654,1513051241
3C5pdZxVBDXEkyy2qsxzFRyAwcn2rWF17f,"{ ""P2SH"" : 888404785041 }",active,13,332008,533626,,,1417193652,1532534108
39zbtTewbEj3ok4tUXCdZsiekgnuFzuSJ4,"{ ""P2SH"" : 866523071200 }",active,42,544325,544327,,,1538642154,1538643288
1GMdCKrqmttSHTUVsXaYD7cfqSGtsRbM3,"{ ""P2PKH"" : 863076953384 }",active,1,492443,549860,,,1509421227,1542066474
1HTzd3sKVmrTNZ6QGisPPA1MvBkoyPiZWJ,"{ ""P2PKH"" : 830804335689 }",active,41,382246,546817,,,1446776638,1540191247
1NpZcfBnaJeoRT9ZqwZVRMw3SRs546VsuE,"{ ""P2PKH"" : 800773539986 }",active,42,295845,515841,,unidentified,1397501410,1522412762
14rDzrB8GFr5kJbNHgXygGTnb8mgWJtX8f,"{ ""P2PKH"" : 799900001443 }",active,6,504953,519700,,,1516352933,1524559834
1K1KYhxGDMTBJdhob9x9UWun7t5aVyuXZr,"{ ""P2PKH"" : 795986003443 }",active,7,470064,539420,,,1496767537,1535763973
15Z5YJaaNSxeynvr6uW6jQZLwq3n1Hu6RX,"{ ""P2PKH"" : 794106211453 }",inactive,20,49995,85225,,unidentified,1270915355,1287123778
3FAxrWQVgNNUZ4FCjRQgzDbce1vTyonzwC,"{ ""P2SH"" : 784123003322 }",active,5,546892,546902,,,1540232314,1540237359
3KzXtsdodEycyfnzsrPAFgiDrXEHQ2bQby,"{ ""P2SH"" : 780026214306 }",inactive,4,354945,445223,,,1430759482,1482778000
1HDu2mDMr5bcgoGBty9Usmb8oH1rTDJxQ9,"{ ""P2PKH"" : 749998872443 }",active,110,494098,541247,,,1510520841,1536844366
13vGS7YsuHv166D5pGqJD1X8xS9ib2TrA1,"{ ""P2PKH"" : 735146004630 }",active,167,516534,534246,,,1522809853,1532857381
13Vj9xNqUqTEBtHuELRjdVTktovQm4MAbS,"{ ""P2PKH"" : 724003354209 }",inactive,7,408152,437731,,,1461168044,1478506079
1FfdcppWbJ7FeQFznsjdLYNXdwMdoiTGSA,"{ ""P2PKH"" : 696103959315 }",active,51,223645,507146,,,1362084900,1517516376
19MqjbtGam8oTk21QCM32fjQFFajp3Lhr8,"{ ""P2PKH"" : 695238723943 }",active,5,537858,538292,,,1534889239,1535140732
3HsSR84zReeBt5fTMESWJ2y18pMo5gz2Sq,"{ ""P2SH"" : 685600672527 }",active,26,434329,547958,,,1476467018,1540899012
1KXNqXfwoX3ZmjpFzJ5f9FTcsSZHwXa5kN,"{ ""P2PKH"" : 670680989384 }",active,3,548409,549737,,,1541138951,1541991204
17A16QmavnUfCW11DAApiJxp7ARnxN5pGX,"{ ""P2PKH"" : 669499647189 }",active,94,443112,549999,,,1481541858,1542162865
1A7znRYE24Z6K8MCAKXLmEvuS5ixzvUrjH,"{ ""P2PKH"" : 655166263889 }",active,34,474860,498113,,,1499552747,1512674117
3E66PoTCuYw4vR2w9ws5DzcbguoPLC8pJg,"{ ""P2SH"" : 619998375714 }",active,7,513804,543029,,,1521213879,1537891962
3MHUJ8msrtNEscLr9A6bTLXkeJDakFvGz2,"{ ""P2SH"" : 615275231199 }",active,271,502633,549792,,,1515122789,1542027261
3FXFshYr97aQUizVEGwdCLNdDihWtqHsT9,"{ ""P2SH"" : 614038172590 }",active,23,333456,549380,,,1418068364,1541764842
3PLrtn4ELjmJA1ENdkTD59QFVfTrMDypJM,"{ ""P2SH"" : 600000001443 }",active,3,494859,543474,,,1510964641,1538153821
12rU7whLERNrkDb8bTe9VJJSKZvCXy7dj7,"{ ""P2PKH"" : 592868679592 }",active,39,527208,545861,,,1528856019,1539607221
