display_group_ids,exposed_supply_sats_by_script_type,spend_activity,exposed_utxo_count,first_exposed_blockheight,last_spend_blockheight,details,identity
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,"{ ""P2SH"" : 24859749056597 }",inactive,422,546288,770774,None,Binance
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,"{ ""P2WSH"" : 18001007650531 }",active,13,590368,837260,3-of-5 multisig,Bitfinex
bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2,"{ ""P2WPKH"" : 13574482490869 }",active,68,788818,846736,,Robinhood
3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,"{ ""P2SH"" : 10459124412746 }",active,72,549926,837912,None,Binance
bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc27a4,"{ ""P2WSH"" : 7535408399552 }",active,8,756361,840640,3-of-5 multisig,Tether
1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP,"{ ""P2PKH"" : 6834615809642 }",active,791,761374,846328,,Upbit
3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,"{ ""P2SH"" : 6820000550637 }",inactive,30,581111,763655,None,Binance
bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr,"{ ""P2WSH"" : 6800009414210 }",active,8,704522,840641,3-of-5 multisig,Bitfinex
bc1qcv8h9hp5w8c4qpze0a4tdxw6qjtvg8yps23k0g3aymxx7jlesv4q4t6f65,"{ ""P2WSH"" : 4884466463972 }",active,22,831674,849357,,
bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3qfgpr,"{ ""P2WSH"" : 4523286122194 }",active,28,828493,849804,2-of-2 multisig,Coincheck
bc1qs5vdqkusz4v7qac8ynx0vt9jrekwuupx2fl5udp9jql3sr03z3gsr2mf0f,"{ ""P2WSH"" : 4467110914315 }",active,64,803371,845594,,
3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgd,"{ ""P2SH"" : 4216088811767 }",active,215,767604,848756,None,Gemini
12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8Fx,"{ ""P2PKH"" : 3232100195088 }",inactive,35,661177,733173,,
bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4,"{ ""P2WPKH"" : 3164339911349 }",inactive,4741,630028,639966,,Binance Pool
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,"{ ""P2PKH"" : 3100007428036 }",inactive,168,55632,70071,,unidentified
39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYw,"{ ""P2SH"" : 2613938409555 }",active,3,820136,834668,None,unidentified
bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9,"{ ""P2WPKH"" : 2440848757698 }",active,3607,725859,849804,,Crypto.com
1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE7,"{ ""P2PKH"" : 2424588061791 }",active,26,795034,849412,,Binance
38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,"{ ""P2SH"" : 2406697224408 }",inactive,86,402670,791369,,
1LrwYH6jhn5hejM6ANAhMq5QWJD4QRWMGb,"{ ""P2PKH"" : 2403603092929 }",active,30,832433,832741,,
15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxv,"{ ""P2PKH"" : 2324500657366 }",inactive,40,741078,741249,,unidentified
bc1qcpflj68s3ahy4xajez4d8v3vk28pvf7qte2jmlftvxzfke2u6mqsge3gvh,"{ ""P2WSH"" : 2270698030272 }",active,17,832688,849660,3-of-5 multisig,Abraxas Capital Mgmt
3JZq4atUahhuA9rLhXLMhhTo133J9rF97j,"{ ""P2SH"" : 2083430504900 }",active,7,548485,848941,,
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,"{ ""P2PKH"" : 2000800228224 }",inactive,77,459340,459341,,unidentified
3HfD4pvF43jdu9dzVMEr1b8AnDHooRGc5t,"{ ""P2SH"" : 1982857571215 }",active,10,774635,824188,,
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,"{ ""P2SH"" : 1920882546908 }",active,23,561082,834382,4-of-8 multisig,Boerse Stuttgart Digital
bc1qchctnvmdva5z9vrpxkkxck64v7nmzdtyxsrq64,"{ ""P2WPKH"" : 1900926641919 }",active,29,814641,849443,,BitMEX
bc1qcdqj2smprre85c78d942wx5tauw5n7uw92r7wr,"{ ""P2WPKH"" : 1842379105374 }",active,11790,777269,849292,,
bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40,"{ ""P2WPKH"" : 1805853578130 }",active,1056,674148,845790,,
bc1qx2x5cqhymfcnjtg902ky6u5t5htmt7fvqztdsm028hkrvxcl4t2sjtpd9l,"{ ""P2WSH"" : 1635471566643 }",active,21,745992,849926,2-of-2 multisig,Bitbank
bc1q32lyrhp9zpww22phqjwwmelta0c8a5q990ghs6,"{ ""P2WPKH"" : 1608209607976 }",active,51,825130,849408,,Ceffu
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,"{ ""P2PKH"" : 1574555972557 }",inactive,74,505553,505587,,unidentified
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,"{ ""P2WPKH"" : 1522133296009 }",active,372,704052,850000,,Binance
39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN,"{ ""P2SH"" : 1450221787490 }",active,28,671980,849663,None,unidentified
3NfFY549H4Yaq2P8vVu2e2XupKaub56jec,"{ ""P2SH"" : 1440796567009 }",active,23,833605,845384,None,Bitwise
bc1q5vwscmf85w2vlq0qvr33dgpvu5rlrd42cqw6qn,"{ ""P2WPKH"" : 1384125243606 }",active,1,784968,849831,,
bc1qk7fy6qumtdkjy765ujxqxe0my55ake0zefa2dmt6sjx2sr098d8qf26ufn,"{ ""P2WSH"" : 1334222082047 }",active,95,818630,847602,,
3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnE,"{ ""P2SH"" : 1331594559037 }",active,46,671004,849874,None,Purpose Investments
1932eKraQ3Ad9MeNBHb14WFQbNrLaKeEpT,"{ ""P2PKH"" : 1289977969299 }",active,38,621962,842552,,
3BMEXqGpG4FxBA1KWhRFufXfSTRgzfDBhJ,"{ ""P2SH"" : 1280323005666 }",inactive,5,476312,793891,,
bc1qtrxc0use4hlm7fl0j6t37z7qlwl5eppj8lywz6,"{ ""P2WPKH"" : 1202986798328 }",active,809,746370,845790,,
1KVpuCfhftkzJ67ZUegaMuaYey7qni7pPj,"{ ""P2PKH"" : 1183721272612 }",active,31,601943,847057,,HTX
1PJiGp2yDLvUgqeBsuZVCBADArNsk6XEiw,"{ ""P2PKH"" : 1171500717340 }",active,18,822203,847468,,Binance
3HcEUguUZ4vyyMAPWDPUDjLqz882jXwMfV,"{ ""P2SH"" : 1131764893268 }",active,2379,790407,849996,,
bc1q7t9fxfaakmtk8pj7tdxjvwsng6y9x76czuaf5h,"{ ""P2WPKH"" : 1065000037020 }",active,2,832662,833190,,Binance
162bzZT2hJfv5Gm3ZmWfWfHJjCtMD6rHhw,"{ ""P2PKH"" : 1014162243057 }",active,263,759310,847849,,gate.io
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB,"{ ""P2PKH"" : 1000000898040 }",inactive,11,761378,761392,,Upbit
1GUfWdZQoo2pQ4BKHsiegxuZPnheY5ueTm,"{ ""P2PKH"" : 1000000849524 }",inactive,10,761381,761392,,Upbit
12HnxiXEeKUVjQRbMVTytsGWnzHd5LdGCt,"{ ""P2PKH"" : 1000000759003 }",inactive,10,761380,761392,,Upbit
17uULjz9moeLyjXHoKNwDRgKzf8ahY3Jia,"{ ""P2PKH"" : 1000000752223 }",inactive,10,761380,761392,,Upbit
