display_group_ids,exposed_supply_sats_by_script_type,spend_activity,exposed_utxo_count,first_exposed_blockheight,last_spend_blockheight,details,identity
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,"{ ""P2SH"" : 16366425316767 }",active,87,546288,594447,None,Binance
35hK24tcLEWcgNA4JxpvbkNkoAcDGqQPsP,"{ ""P2SH"" : 15100013129630 }",active,58,560028,595255,,
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,"{ ""P2SH"" : 11730490887099 }",active,25,554702,599823,,
3CgKHXR17eh2xCj2RGnHJHTDjPpqaNDgyT,"{ ""P2SH"" : 11185824580401 }",active,3,595287,595480,2-of-3 multisig,Bitstamp
3D2oetdNuZUqQHPJmcMDDHYoqkyNVsFk9r,"{ ""P2SH"" : 7689310178244 }",active,782,446739,575004,,
1HQ3Go3ggs8pFnXuHVHRytPCq5fGG8Hbhx,"{ ""P2PKH"" : 6937013094817 }",inactive,180,230514,353375,,
3JZq4atUahhuA9rLhXLMhhTo133J9rF97j,"{ ""P2SH"" : 5941018101555 }",active,165,548485,596425,,
38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,"{ ""P2SH"" : 5454936908117 }",active,101,402670,580748,,
17hf5H8D6Yc4B7zHEg3orAtKn7Jhme7Adx,"{ ""P2PKH"" : 3600000213111 }",inactive,49,462592,462662,,
336xGpGweq1wtY4kRTuA4w6d7yDkBU9czU,"{ ""P2SH"" : 3153420397861 }",active,320,406125,599439,,
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,"{ ""P2PKH"" : 3100006893125 }",inactive,88,55632,70071,,
1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ,"{ ""P2PKH"" : 2931063298775 }",active,81,561730,593468,,
3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,"{ ""P2SH"" : 2806147073260 }",active,60,371387,599929,,
3R1hBCHURkquAjFUv1eH5u2gXqooJkjg4B,"{ ""P2SH"" : 2789937748329 }",active,70,383867,596413,,
3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,"{ ""P2SH"" : 2653231778641 }",active,30,555010,590877,None,unidentified
3HroDXv8hmzKRtaSfBffRgedKpru8fgy6M,"{ ""P2SH"" : 2510469740862 }",active,33,575742,595831,2-of-3 multisig,gate.io
1AnwDVbwsLBVwRfqN2x9Eo4YEJSPXo2cwG,"{ ""P2PKH"" : 2322761520090 }",inactive,46,474872,510573,,
14eQD1QQb8QFVG8YFwGz7skyzsvBLWLwJS,"{ ""P2PKH"" : 2221116529642 }",inactive,73,474880,504228,,
16FSBGvQfy4K8dYvPPWWpmzgKM6CvrCoVy,"{ ""P2PKH"" : 2175473535236 }",active,407,500135,596304,,
39zAv4u6QBSmUAttAUP6bLvENRMZuNAJaP,"{ ""P2SH"" : 2087024180043 }",active,22,583428,583429,,
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,"{ ""P2PKH"" : 2000800060605 }",inactive,29,459340,459341,,unidentified
3ACGWkNmZFT8gMzo7vLUtocd8ajCjFW7FX,"{ ""P2SH"" : 1999999898174 }",active,7,562604,562853,,
16GTzLcEsAm4tHhwtZV1F6gxYDMmbdSMrv,"{ ""P2PKH"" : 1993992097061 }",active,27,581382,591094,,
