display_group_ids,exposed_supply_sats_by_script_type,spend_activity,exposed_utxo_count,first_exposed_blockheight,last_spend_blockheight,details,identity
16cou7Ht6WjTzuFyDBnht9hmvXytg6XdVT,"{ ""P2PKH"" : 5300003133700 }",active,7,130794,179961,,Roger Ver
13vJZKHKBirruXwmjMaRtakzPQRRHQit1S,"{ ""P2PKH"" : 5013003133700 }",active,3,160143,172418,,unidentified
1BBqjKsYuLEUE9Y5WzdbzCtYzCiQgHqtPN,"{ ""P2PKH"" : 4745803133700 }",active,21,178842,180986,,Silk Road Hacker
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,"{ ""P2PKH"" : 3100003133700 }",inactive,5,55632,70071,,unidentified
1Co6UHJmGHevWEHAPraSPRVkfGgG46EHwe,"{ ""P2PKH"" : 3060000000000 }",active,23,180637,180640,,unidentified
1EizfuH5h8e8F1Zvw99pQFPF1egDs8h9uG,"{ ""P2PKH"" : 2509343065143 }",active,8,175615,199830,,Bitstamp
1A6GpGtUEstGWE3kfRHLWvQfRkxbcaFP1b,"{ ""P2PKH"" : 2364103133700 }",active,15,150310,174437,,unidentified
1FrtkNXastDoMAaorowys27AKQERxgmZjY,"{ ""P2PKH"" : 2300003133700 }",active,7,177452,199519,,unidentified
1BADznNF3W1gi47R65MQs754KB7zTaGuYZ,"{ ""P2PKH"" : 2201303133700 }",active,30,178833,183515,,Silk Road Hacker
16g2TW2hbFoov3DThSRBdnETaS94bFvq5v,"{ ""P2PKH"" : 2030003133700 }",active,23,120896,192537,,unidentified
1DGWinRD86SX3sEZzcEqtSxjDqwaWD6jxQ,"{ ""P2PKH"" : 2000000000000 }",active,1,159209,159589,,unidentified
1CbR8da9YPZqXJJKm9ze1GYf67eKAUfXwP,"{ ""P2PKH"" : 1900191000000 }",active,11,195071,199694,,BTC-e
17FXxwQ7v35a3nZgKUw5MzoFdB75rxYDrs,"{ ""P2PKH"" : 1579993490000 }",active,8,189322,189481,,unidentified
19ere2oJzJh81A5Q64SExDZYz54RvWHqZz,"{ ""P2PKH"" : 1428687000000 }",active,23,69804,191997,,unidentified
1QAHVyRzkmD4j1pU5W89htZ3c6D6E7iWDs,"{ ""P2PKH"" : 1403700000000 }",active,19,188036,199573,,unidentified
1Hw8dtVC9bdxDz1su9Jx3GXTgjR75FJcMK,"{ ""P2PKH"" : 1400531850000 }",active,8,176563,194242,,unidentified
1KX8EPDcziwbGaC7oDHDuKE9SfLWMmmbZy,"{ ""P2PKH"" : 1305000000000 }",inactive,12,109344,129884,,unidentified
1B1wPLyrJ831sg1D8hnZLBG7SejXbqMMrH,"{ ""P2PKH"" : 1280000000000 }",inactive,256,65615,120599,,unidentified
19n1JqKDnoqcc34HA3fdgzNxczic6Hu5Pi,"{ ""P2PKH"" : 1186780000000 }",active,1,38330,148283,,unidentified
1FSGpYLfoRBQjjdqLJoMyiA4nCVHfLokQd,"{ ""P2PKH"" : 1154265000000 }",active,19,132392,199735,,unidentified
1GWexYYJtPbNRAKPndLwedtLK1yuDUjUeX,"{ ""P2PKH"" : 1135000000000 }",active,6,162299,163991,,unidentified
1HYGzEjtQsmrhBAf19nd9eNvcz34RAzhRc,"{ ""P2PKH"" : 1130000000000 }",inactive,1,53868,73534,,unidentified
1En3ztwJT4jjmwesuufFAGoJ5uEjGSxkNS,"{ ""P2PKH"" : 1100000000000 }",active,3,191992,195188,,BTC-e
1MCjhEVUFEqhx4bA5naLD1C76FudVLBqCf,"{ ""P2PKH"" : 1073050000000 }",active,45,182176,198531,,unidentified
14xZRjQBVj78mmpz1hQFBtbTtN8aeeoN4x,"{ ""P2PKH"" : 1050000000000 }",inactive,4,86638,103949,,unidentified
1QEzw7pxkAzuDfzJooo785vXWvXq1UTqPg,"{ ""P2PKH"" : 1021027950310 }",active,1,177903,178736,,unidentified
1n31g4rKiEeXnZEZR6VZwm3LggLicEqEC,"{ ""P2PKH"" : 1021022806259 }",active,213,176786,195107,,unidentified
1JPvucRfu3ZzEvfBUQTJwsxMrZjeTqD6zR,"{ ""P2PKH"" : 1008000002664 }",active,3,137504,195677,,MPEx
1UCiEhGMLNaFjgRzK6u26CwU1aSYXGvPV,"{ ""P2PKH"" : 1000000000000 }",active,1,119662,187855,,unidentified
1oJDbn2aFTv3mvQ9Z1zy6m2ZxZbwXoc7H,"{ ""P2PKH"" : 983680000000 }",active,38,164638,196542,,unidentified
1U1jTCGkQYRaDVStZdDHMFWUMoSJi4HSc,"{ ""P2PKH"" : 894901000000 }",active,6,38353,188118,,Miner
1MaehpynXrLbAH9vsQEjYucadUwsxsQyjF,"{ ""P2PKH"" : 884600000000 }",active,10,190026,194290,,unidentified
1BcCo1dNztEjMtzxFTbtQuZEuK1NkvN8q5,"{ ""P2PKH"" : 868000000000 }",active,5,180468,199548,,unidentified
1CWG3oZbDMjFjyZqoaBMcu6HVn9smRCHMp,"{ ""P2PKH"" : 800000000000 }",active,9,175902,193672,,unidentified
1HEcFSf9zWJPUbsAcKWzThdh76USo6KCy2,"{ ""P2PKH"" : 800000000000 }",active,4,191208,194637,,unidentified
15Z5YJaaNSxeynvr6uW6jQZLwq3n1Hu6RX,"{ ""P2PKH"" : 794106000000 }",inactive,5,49995,85225,,unidentified
13uraL1Maba7obbhkdB4pjsqMyvqrcTeeD,"{ ""P2PKH"" : 791111000000 }",active,18,86036,175887,,unidentified
198E3LyUJASmKA4PJvEHthEE62XbTuPZSL,"{ ""P2PKH"" : 779900000000 }",inactive,1,124409,128352,,unidentified
1BexTYjSticxisuZGK7vDPPLchVxLLtWjJ,"{ ""P2PKH"" : 772668018696 }",active,8,148318,198966,,unidentified
1aCW2vs7Xphjea1jyk3ZykYiujvUwSGaC,"{ ""P2PKH"" : 766093946001 }",active,1,152800,186676,,unidentified
1e6AzmPF35S3JTE8QMXD3k7oczJ7QgCSa,"{ ""P2PKH"" : 765910000000 }",active,3,108564,170109,,unidentified
1H4wE9QfF2xtBJEoGi6BY3pPoe3BdMUJed,"{ ""P2PKH"" : 751600000000 }",active,16,189403,195133,,unidentified
1ZTABNhD2bYDvFskVZGjwLrbEt8oZpy8g,"{ ""P2PKH"" : 749592220067 }",inactive,15,104212,140782,,unidentified
18ShHDufPcxfNZr4rArogTUCF2GmkJiSCV,"{ ""P2PKH"" : 737200000000 }",inactive,1,69615,70118,,unidentified
1h3wA6JHSUrGzUpnVVS1f5iwDy7iHQxk9,"{ ""P2PKH"" : 710000000000 }",active,7,190835,199541,,unidentified
1AB2pgzv4yZQWp1ZS5Vb8sHWGHbuXwh2An,"{ ""P2PKH"" : 700000000000 }",active,2,196894,196895,,unidentified
1QCC8M4FihHG6PpUwW35cniwxNW4sMY7iQ,"{ ""P2PKH"" : 685098010614 }",active,14,145525,199319,,Owen Gunden
1NuDiVDgBx2rx3gwoRJRERkPkSLNksubMK,"{ ""P2PKH"" : 683711638034 }",active,34,152886,160978,,unidentified
15kN4RRGAWapscJjSg1VEKbrWtNf192pwk,"{ ""P2PKH"" : 649270100000 }",active,41,191263,198936,,unidentified
1MbcZkfjkWdEEeC9r5pq5XRBDRcKUCsg9h,"{ ""P2PKH"" : 640000000000 }",inactive,1,67043,97395,,unidentified
