display_group_ids,exposed_supply_sats_by_script_type,spend_activity,exposed_utxo_count,first_exposed_blockheight,last_spend_blockheight,details,identity
1NJWs6g6hQsgxqtpRxXLhZJwHYhH2P2bvx,"{ ""P2PKH"" : 4000000000000 }",active,1,83237,95890,,unidentified
17CJvRrNdqSPN3Zs2dWfNY6GoCiMRfNG2T,"{ ""P2PKH"" : 3303500000000 }",active,6,56457,93376,,unidentified
1s4pPJap3eCRLdgxwSKTW5gxeuXZKrRT4,"{ ""P2PKH"" : 3142407000000 }",active,1,90326,94734,,unidentified
199QiJj1miojVSAop7gpAamscHd77r12ET,"{ ""P2PKH"" : 3133845000000 }",active,9,39323,85432,,unidentified
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,"{ ""P2PKH"" : 3100000000000 }",active,4,55632,70071,,unidentified
15oCtt4tujaUQr1JicBqePsTg5Mz7AN3Ma,"{ ""P2PKH"" : 2999000000000 }",active,6,81219,93830,,unidentified
1GdVp8gMW2MjK3L8gNWXLR8uRNFfB4Qex3,"{ ""P2PKH"" : 2320000000000 }",active,1,86761,90408,,unidentified
19k8nToWwMGuF4HkNpzgoVAYk4viBnEs5D,"{ ""P2PKH"" : 2260600000000 }",active,13,36286,99716,,unidentified
1K1MjKdRsj4T3Tdr7DXdPJCYuUPw8US72f,"{ ""P2PKH"" : 1985714000000 }",active,16,79556,84757,,unidentified
1B1wPLyrJ831sg1D8hnZLBG7SejXbqMMrH,"{ ""P2PKH"" : 1940000000000 }",active,388,65615,83542,,unidentified
1Cp18yeabUg14CNp2HGwKisDoixiGgzmeT,"{ ""P2PKH"" : 1880000000000 }",active,8,39249,98947,,unidentified
19n1JqKDnoqcc34HA3fdgzNxczic6Hu5Pi,"{ ""P2PKH"" : 1621779000000 }",active,4,38330,85432,,unidentified
1P8tkiZvGrXWvEDs98ZpshyNbudcHZCzSD,"{ ""P2PKH"" : 1570000000000 }",active,7,83299,93126,,unidentified
1Cq37WXRrYTy3wh9swEcDoRHgdrvDL2Wrc,"{ ""P2PKH"" : 1460000000000 }",active,2,97370,97688,,unidentified
18sFHF3eD25uSRrASfoPBKBaTHjk3N1cWc,"{ ""P2PKH"" : 1300000000000 }",active,1,65381,83504,,theymos
18CuCQzQ1PVVX81nK6QeRZi5PRrtcafAb8,"{ ""P2PKH"" : 1235002000000 }",active,13,90251,93774,,unidentified
1HYGzEjtQsmrhBAf19nd9eNvcz34RAzhRc,"{ ""P2PKH"" : 1130000000000 }",active,1,53868,73534,,unidentified
1PCUVVwKJXQNY357WvKCAbZefLyZbwdb4y,"{ ""P2PKH"" : 1125004000000 }",active,6,94196,98448,,unidentified
141tFf7wKP8MpC48TYoWi7MeQcQVxFJ9LT,"{ ""P2PKH"" : 1100000000000 }",active,5,81518,96703,,unidentified
19vcWM6EEbQHVdN2W8NXv9ySgsPjbZ6gU3,"{ ""P2PKH"" : 1000000000000 }",active,1,58070,71062,,unidentified
1BsRzg8hTfKXbywbXuaGbzHSsYtcwwXVtZ,"{ ""P2PKH"" : 1000000000000 }",active,2,97568,97580,,unidentified
