display_group_ids,exposed_supply_sats_by_script_type,spend_activity,exposed_utxo_count,first_exposed_blockheight,last_spend_blockheight,details,identity
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,"{ ""P2SH"" : 24859739023307 }",active,349,546288,770774,None,Binance
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,"{ ""P2WSH"" : 17801008842256 }",active,22,590368,783201,3-of-5 multisig,Bitfinex
bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2,"{ ""P2WPKH"" : 11830019979746 }",active,71,788818,788996,,Robinhood
37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs,"{ ""P2SH"" : 9450534370078 }",inactive,153,593468,689591,None,unidentified
3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,"{ ""P2SH"" : 6820000440904 }",active,15,581111,763655,None,Binance
bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr,"{ ""P2WSH"" : 5930009695947 }",active,2,704522,799258,3-of-5 multisig,Bitfinex
bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc27a4,"{ ""P2WSH"" : 5502219754649 }",active,2,756361,799401,3-of-5 multisig,Tether
3LCGsSmfr24demGvriN4e3ft8wEcDuHFqh,"{ ""P2SH"" : 4020116073464 }",active,22,597333,799986,,
bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40,"{ ""P2WPKH"" : 3629280104671 }",active,16,674148,795158,,
12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8Fx,"{ ""P2PKH"" : 3232100051856 }",inactive,22,661177,733173,,
3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgd,"{ ""P2SH"" : 3205230000000 }",active,41,767604,793632,None,Gemini
bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4,"{ ""P2WPKH"" : 3164338388706 }",inactive,4728,630028,639966,,Binance Pool
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,"{ ""P2PKH"" : 3100007368976 }",inactive,153,55632,70071,,unidentified
bc1qjysjfd9t9aspttpjqzv68k0ydpe7pvyd5vlyn37868473lell5tqkz456m,"{ ""P2WSH"" : 3042366882318 }",active,34,709678,766916,,
3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnE,"{ ""P2SH"" : 2825961529962 }",active,50,671004,799580,None,Purpose Investments
1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP,"{ ""P2PKH"" : 2769424593086 }",active,316,761374,798081,,Upbit
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,"{ ""P2WPKH"" : 2696749862944 }",active,831,704052,800000,,Binance
3G98jSULfhrES1J9HKfZdDjXx1sTNvHkhN,"{ ""P2SH"" : 2542191818592 }",active,6,788878,788904,,
19N9sDbJ7MDQcPFSjPNqjNDzyRNbNsQ6Zv,"{ ""P2PKH"" : 2531438424712 }",inactive,19,698579,745081,,
1aXzEKiDJKzkPxTZy9zGc3y1nCDwDPub2,"{ ""P2PKH"" : 2514038986089 }",active,1,423616,796200,,
38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67,"{ ""P2SH"" : 2406697117947 }",active,75,402670,791369,,
15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxv,"{ ""P2PKH"" : 2063000545903 }",inactive,13,741078,741249,,unidentified
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,"{ ""P2PKH"" : 2000800224948 }",inactive,71,459340,459341,,unidentified
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,"{ ""P2SH"" : 1967883092562 }",active,23,561082,779756,4-of-8 multisig,Boerse Stuttgart Digital
bc1q4c8n5t00jmj8temxdgcc3t32nkg2wjwz24lywv,"{ ""P2WPKH"" : 1907935112316 }",active,3358,665575,796859,,Crypto.com
bc1qyg4z96sy84594r4a28mc8esdkkuj4dq08jmtt5,"{ ""P2WPKH"" : 1903504304837 }",active,1,763516,763601,,
39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN,"{ ""P2SH"" : 1891524400031 }",active,8,671980,799059,None,unidentified
3JZq4atUahhuA9rLhXLMhhTo133J9rF97j,"{ ""P2SH"" : 1880218816657 }",active,28,548485,796546,,
bc1q5vwscmf85w2vlq0qvr33dgpvu5rlrd42cqw6qn,"{ ""P2WPKH"" : 1847297707320 }",active,2,784968,796321,,
1JHceFenZHACSRPD6tE4bfU6yJ83wTG6kH|bc1qhk0ghcywv0mlmcmz408sdaxudxuk9tvng9xx8g,"{ ""P2PKH"" : 1134362546101, ""P2WPKH"" : 689100248929 }",active,13,745798,796585,,Robinhood
bc1qcdqj2smprre85c78d942wx5tauw5n7uw92r7wr,"{ ""P2WPKH"" : 1685709355602 }",active,4765,777269,797002,,
3H5JTt42K7RmZtromfTSefcMEFMMe18pMD,"{ ""P2SH"" : 1678595137944 }",inactive,59,555010,700687,None,unidentified
35pgGeez3ou6ofrpjt8T7bvC9t6RrUK4p6,"{ ""P2SH"" : 1637965949942 }",active,155,633731,799652,,
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,"{ ""P2PKH"" : 1574555969827 }",inactive,69,505553,505587,,unidentified
bc1qx2x5cqhymfcnjtg902ky6u5t5htmt7fvqztdsm028hkrvxcl4t2sjtpd9l,"{ ""P2WSH"" : 1565564991382 }",active,2,745992,799981,2-of-2 multisig,Bitbank
1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE7,"{ ""P2PKH"" : 1500089992634 }",active,2,795034,795035,,Binance
1KVpuCfhftkzJ67ZUegaMuaYey7qni7pPj,"{ ""P2PKH"" : 1404060800188 }",active,16,601943,748932,,HTX
3BMEXqGpG4FxBA1KWhRFufXfSTRgzfDBhJ,"{ ""P2SH"" : 1280323003143 }",active,1,476312,793891,,
1FZy7CPFA2UqqQJYUA1cG9KvdDFbSMBJYG,"{ ""P2PKH"" : 1273954373387 }",active,4,714307,784255,,
31oxjGsmepoq2cipeGQ2zKZRRBCf1m3kAC,"{ ""P2SH"" : 1265848642360 }",active,11,588936,796178,2-of-3 multisig,Matrixport
bc1qcdeadk07jkthules0yw9u9ue9pklvr608ez94jgwcf7h2ldzcg6qwxp9er,"{ ""P2WSH"" : 1204242681726 }",active,2,740861,799258,,
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb,"{ ""P2PKH"" : 1139983296031 }",inactive,60,503012,665266,,Bitstamp
bc1q080rkmk3kj86pxvf5nkxecdrw6nrx3zzy9xl7q,"{ ""P2WPKH"" : 1098000025994 }",active,30,653559,796348,,
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,"{ ""P2SH"" : 1030184762459 }",active,57,554702,788972,,
bc1qtef0p08lputg4qazhx2md43ynhc9kp20pn297qnz68068d9z48asmemanj,"{ ""P2WSH"" : 1000080233877 }",inactive,3,709377,733040,3-of-5 multisig,Bitfinex
1GUfWdZQoo2pQ4BKHsiegxuZPnheY5ueTm,"{ ""P2PKH"" : 1000000847340 }",active,6,761381,761392,,Upbit
12HnxiXEeKUVjQRbMVTytsGWnzHd5LdGCt,"{ ""P2PKH"" : 1000000755979 }",active,5,761380,761392,,Upbit
17uULjz9moeLyjXHoKNwDRgKzf8ahY3Jia,"{ ""P2PKH"" : 1000000749219 }",active,5,761380,761392,,Upbit
18qNs1yBGGKR8RyErnEF5kegbNUgPfixhS,"{ ""P2PKH"" : 1000000701570 }",active,5,761381,761392,,Upbit
1MewpRkpcbFdqamPPYc1bXa9AJ189Succy,"{ ""P2PKH"" : 1000000573704 }",active,3,761374,761392,,Upbit
