display_group_ids,exposed_supply_sats_by_script_type,spend_activity,exposed_utxo_count,first_exposed_blockheight,last_spend_blockheight,details,identity
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,"{ ""P2SH"" : 24859758215807 }",inactive,5049,546288,770774,None,Binance
3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,"{ ""P2SH"" : 15125934506736 }",active,188,549926,942176,None,Binance
bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2,"{ ""P2WPKH"" : 14057482617114 }",active,69,788818,939430,,Robinhood
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,"{ ""P2WSH"" : 13001007898624 }",active,44,590368,899592,3-of-5 multisig,Bitfinex
bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc27a4,"{ ""P2WSH"" : 9618535693433 }",active,13,756361,933503,3-of-5 multisig,Tether
bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr,"{ ""P2WSH"" : 9185011288744 }",active,15,704522,933503,3-of-5 multisig,Bitfinex
1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP,"{ ""P2PKH"" : 7040392954025 }",active,1463,761374,941174,,Upbit
3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,"{ ""P2SH"" : 6820000679813 }",inactive,99,581111,763655,None,Binance
bc1q0ymzksy046tv4z88ts5nmu7s574umnwmdev3rt,"{ ""P2WPKH"" : 6065750671173 }",active,42,910923,911024,,Kraken
3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgd,"{ ""P2SH"" : 5640467056851 }",active,291,767604,941315,None,Gemini
bc1qa2eu6p5rl9255e3xz7fcgm6snn4wl5kdfh7zpt05qp5fad9dmsys0qjg0e,"{ ""P2WSH"" : 4419436890259 }",inactive,54,850077,884862,3-of-6 multisig,Bybit
bc1qws342rlkhszh58rtn35zrw7w076puz83gkcufy,"{ ""P2WPKH"" : 4298800014781 }",active,1,916023,942291,,Deribit
1JHceFenZHACSRPD6tE4bfU6yJ83wTG6kH,"{ ""P2PKH"" : 1200, ""P2WPKH"" : 4278275938158 }",active,96,745798,932525,,Robinhood
bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3qfgpr,"{ ""P2WSH"" : 4244371718239 }",active,106,828493,942293,2-of-2 multisig,Coincheck
bc1qukw69mjxwp30adfqddv6gcyva26laxz562rhlk,"{ ""P2WPKH"" : 3367243302808 }",active,18,910924,932012,,Kraken
3FuhQLprN9s9MR3bZzR5da7mw75fuahsaU,"{ ""P2SH"" : 3217310433211 }",active,2264,871495,935721,None,Bithumb
bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4,"{ ""P2WPKH"" : 3164340185226 }",inactive,4802,630028,639966,,Binance Pool
bc1qy3uw2kk45uj9vsy52rjfhydm2tnd6hreu8vha3,"{ ""P2WPKH"" : 3148418211905 }",active,25,910787,933108,,Kraken
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,"{ ""P2PKH"" : 3100007634055 }",inactive,245,55632,70071,,unidentified
bc1q8taf2eca7pn9wu4czt8fgftqm288xtfxdyt33syzxuexxty733xsszghzk,"{ ""P2WSH"" : 3080000005184 }",active,8,877255,908911,3-of-5 multisig,Bitfinex
bc1q6h2v33qt0jjvpr2hxxtwhtvdvtn086g0n2qu06,"{ ""P2WPKH"" : 3057392236802 }",active,11,922343,942024,,Bitcoin Group SE
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9,"{ ""P2SH"" : 2698353629972 }",active,34,561082,933986,4-of-8 multisig,Boerse Stuttgart Digital
bc1qcpflj68s3ahy4xajez4d8v3vk28pvf7qte2jmlftvxzfke2u6mqsge3gvh,"{ ""P2WSH"" : 2674238627470 }",active,2,832688,941428,3-of-5 multisig,Abraxas Capital Mgmt
39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYw,"{ ""P2SH"" : 2606238471777 }",active,39,820136,931290,None,unidentified
bc1qysj2w7xsw09datsy9mt9x50jn7qjd6qde6d66qm3ce0a4y9uzdpqcavdr0,"{ ""P2WSH"" : 2518076528921 }",active,55,889381,939274,3-of-5 multisig,River
15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxv,"{ ""P2PKH"" : 2359950813817 }",active,79,741078,937194,,unidentified
